Manager,BusinessUnit,Strategy,Region
Joe Smith,Capital Market,Macro,United States
Steve Smith,Consumer Banking,High Alpha,Europe
Jane Smith,Asset Management,Low Beta,Asia
Ron Smith,Wealth Management,Diversified,Europe
Rupert Smith,Capital Market,Relative Value,United States
Don Smith,Capital Markets,Arbitrage,United States
Nick Smith,Capital Market,Market,Australia
Jody Smith,Capital Market,Momentum,United States
Paula Smith,Consumer Banking,High Growth,Europe
Lora Smith,Wealth Management,Low Risk,Africa
Manny Smith,Consumer Banking,High Alpha,Europe
